HIPPO, 307
-4.5,43.5,16.5
-7.5,43.5,16.5
7.5,46.5,19.5
7.5,43.5,19.5
7.5,46.5,22.5
7.5,43.5,22.5
7.5,40.5,25.5
OPA, 203
31.5,82.5,13.5
28.5,82.5,13.5
25.5,82.5,13.5
28.5,79.5,13.5
25.5,79.5,13.5
19.5,91.5,16.5
22.5,88.5,16.5
19.5,88.5,16.5
28.5,85.5,16.5
25.5,85.5,16.5
22.5,85.5,16.5
19.5,85.5,16.5
34.5,82.5,16.5
31.5,82.5,16.5
28.5,82.5,16.5
25.5,82.5,16.5
22.5,82.5,16.5
-25.5,82.5,16.5
28.5,79.5,16.5
25.5,79.5,16.5
-25.5,79.5,16.5
-28.5,76.5,16.5
-31.5,76.5,16.5
19.5,94.5,19.5
22.5,91.5,19.5
19.5,91.5,19.5
16.5,91.5,19.5
22.5,88.5,19.5
19.5,88.5,19.5
16.5,88.5,19.5
-19.5,88.5,19.5
-22.5,88.5,19.5
22.5,85.5,19.5
19.5,85.5,19.5
-19.5,85.5,19.5
-22.5,85.5,19.5
28.5,82.5,19.5
25.5,82.5,19.5
22.5,82.5,19.5
-22.5,82.5,19.5
-25.5,82.5,19.5
28.5,79.5,19.5
25.5,79.5,19.5
-25.5,79.5,19.5
-28.5,79.5,19.5
28.5,76.5,19.5
-28.5,76.5,19.5
-31.5,76.5,19.5
-31.5,73.5,19.5
-34.5,73.5,19.5
-31.5,70.5,19.5
19.5,94.5,22.5
19.5,91.5,22.5
16.5,91.5,22.5
22.5,88.5,22.5
19.5,88.5,22.5
16.5,88.5,22.5
13.5,88.5,22.5
-19.5,88.5,22.5
-22.5,88.5,22.5
22.5,85.5,22.5
19.5,85.5,22.5
-19.5,85.5,22.5
-22.5,85.5,22.5
25.5,82.5,22.5
-25.5,82.5,22.5
-28.5,82.5,22.5
28.5,79.5,22.5
25.5,79.5,22.5
-28.5,79.5,22.5
28.5,76.5,22.5
-28.5,76.5,22.5
-31.5,76.5,22.5
-31.5,73.5,22.5
-34.5,73.5,22.5
-31.5,70.5,22.5
-34.5,70.5,22.5
19.5,97.5,25.5
22.5,94.5,25.5
19.5,94.5,25.5
16.5,94.5,25.5
13.5,94.5,25.5
10.5,94.5,25.5
22.5,91.5,25.5
19.5,91.5,25.5
16.5,91.5,25.5
13.5,91.5,25.5
10.5,91.5,25.5
22.5,88.5,25.5
19.5,88.5,25.5
16.5,88.5,25.5
13.5,88.5,25.5
10.5,88.5,25.5
-13.5,88.5,25.5
-16.5,88.5,25.5
-19.5,88.5,25.5
-22.5,88.5,25.5
-25.5,88.5,25.5
-28.5,88.5,25.5
16.5,85.5,25.5
13.5,85.5,25.5
-13.5,85.5,25.5
-16.5,85.5,25.5
-19.5,85.5,25.5
-22.5,85.5,25.5
-25.5,85.5,25.5
-28.5,85.5,25.5
-31.5,79.5,25.5
-28.5,76.5,25.5
-31.5,76.5,25.5
-28.5,73.5,25.5
16.5,97.5,28.5
13.5,97.5,28.5
19.5,94.5,28.5
16.5,94.5,28.5
13.5,94.5,28.5
10.5,94.5,28.5
19.5,91.5,28.5
16.5,91.5,28.5
13.5,91.5,28.5
10.5,91.5,28.5
7.5,91.5,28.5
19.5,88.5,28.5
16.5,88.5,28.5
13.5,88.5,28.5
10.5,88.5,28.5
-13.5,88.5,28.5
-16.5,88.5,28.5
-19.5,88.5,28.5
-22.5,88.5,28.5
-25.5,88.5,28.5
-28.5,88.5,28.5
16.5,85.5,28.5
13.5,85.5,28.5
-13.5,85.5,28.5
-16.5,85.5,28.5
-19.5,85.5,28.5
-22.5,85.5,28.5
-25.5,85.5,28.5
-28.5,85.5,28.5
-28.5,73.5,28.5
10.5,94.5,31.5
7.5,94.5,31.5
-7.5,94.5,31.5
-10.5,94.5,31.5
-13.5,94.5,31.5
16.5,91.5,31.5
13.5,91.5,31.5
10.5,91.5,31.5
7.5,91.5,31.5
-7.5,91.5,31.5
-10.5,91.5,31.5
-13.5,91.5,31.5
-16.5,91.5,31.5
-19.5,91.5,31.5
-22.5,91.5,31.5
16.5,88.5,31.5
13.5,88.5,31.5
10.5,88.5,31.5
7.5,88.5,31.5
-13.5,88.5,31.5
-16.5,88.5,31.5
-19.5,88.5,31.5
