vox1,vox2,weight
525,480,0.3418692208386565
525,481,0.37055272275459356
525,482,0.4340943001094897
525,494,0.3441829715500225
525,495,0.38202367084346495
525,518,0.5363877726690175
526,483,0.3824834504200343
526,519,0.403812168312688
526,525,0.3710666318491163
527,484,0.3832158754700654
528,485,0.3625146470577332
528,521,0.3408404007171159
528,527,0.3832922129859624
529,241,0.4114813711629129
529,259,0.36769004342633416
529,486,0.4037104352057755
529,528,0.37621306886149936
530,242,0.37802534018973394
530,260,0.40792065958149265
530,487,0.4062512225739779
530,522,0.38659693946592855
530,529,0.3360470782082514
531,261,0.3867427186959615
531,488,0.455949061498686
531,523,0.38268044453991373
531,530,0.3689547269736065
532,489,0.41019674172677173
532,524,0.4682684951622846
532,531,0.4030458256573541
533,480,0.4020007692616383
533,492,0.4840237314617162
533,493,0.3353645343075034
533,518,0.34815148094406023
534,492,0.32978677708674653
534,493,0.538510907942186
534,494,0.40115225933488746
534,525,0.3628024134827954
534,533,0.46599291400022347
535,493,0.36837926359309553
535,494,0.5399716639747755
535,495,0.3638271785969516
535,525,0.352094589801836
535,534,0.5193170329891178
536,494,0.35225143591757907
536,495,0.47317272349888767
536,525,0.4365056664111542
536,535,0.5389401164032509
537,496,0.4295578942874927
537,526,0.40029671515486065
537,536,0.4627797099431335
539,243,0.4118101731121633
539,497,0.3872087620731242
539,527,0.3880283375943565
539,538,0.4790397851434036
540,241,0.3946016863950204
540,244,0.33855018938727216
540,498,0.42670989407162985
540,528,0.3853006172101747
540,539,0.39997865041968184
541,268,0.36004450367778446
541,503,0.4127320950454383
541,535,0.41219823719195164
542,504,0.4020320903378954
542,536,0.388481041599577
542,541,0.3860811076634085
543,505,0.3444318903374348
543,537,0.32966195718499886
543,542,0.3638177024568716
544,250,0.36361985289093907
544,507,0.3569055635779787
546,545,0.4184596605816829
547,545,0.5368268042961574
548,545,0.7039306177949184
548,547,0.6644852926661404
549,545,0.4186809080099634
549,546,0.49576311059420264
549,547,0.5820004221591499
549,548,0.5538621948158066
550,545,0.5064693866083178
550,547,0.5034165865611574
550,548,0.6852135644881886
550,549,0.5140603883440941
551,545,0.41808925486918663
551,547,0.6004773608817041
551,548,0.535670277029789
551,549,0.5159175885440573
551,550,0.4711690875459022
552,545,0.47215952642655235
552,547,0.5661404730140052
552,548,0.7116827781536985
552,549,0.47587375429467405
552,550,0.6211111578510259
552,551,0.5728254428863523
553,545,0.3819557692573254
553,547,0.4135226999382489
553,548,0.45138917134544393
553,549,0.5312516575890279
553,550,0.4141255961776584
553,551,0.570677906139386
553,552,0.5851215614618314
554,545,0.48568938096518405
554,547,0.4993817849717061
554,548,0.5806464607145473
554,549,0.3771045805993321
554,550,0.610139381262586
554,551,0.42470885536954855
554,552,0.7489564279639591
554,553,0.4941808607754787
555,545,0.39007142323519356
555,547,0.36374291780248796
555,548,0.39511573059960287
555,549,0.3345299928379248
555,550,0.3528745339533183
555,551,0.36154303537419974
555,552,0.38999941382502196
555,553,0.5276453717347055
555,554,0.5123045805991652
556,547,0.33647768374004566
556,548,0.35703196946405297
556,550,0.3376682791995062
556,551,0.349031310930457
556,552,0.4094771453477936
556,553,0.4052772200668555
556,554,0.4214067159197352
556,555,0.3369932334047807
557,545,0.455507599851986
557,547,0.6035250207422372
557,548,0.5828935330687947
557,549,0.5282602930844963
557,550,0.5463447071043386
557,551,0.6316924471968889
557,552,0.6242729926039159
557,553,0.4866704024527843
557,554,0.5165837504265488
557,555,0.3518348628093566
557,556,0.3761586226839559
558,545,0.5065257150796721
558,547,0.4595365866179198
558,548,0.5795393281868835
558,549,0.4125414706711217
558,550,0.550959385831706
558,551,0.4815946092826014
558,552,0.7065423985515465
558,553,0.5103056186262712
558,554,0.6555414695489361
558,555,0.3972488957407232
558,556,0.46089583660315947
558,557,0.5988066536046462
559,545,0.35143026233818525
559,547,0.36141074122387834
559,548,0.3747195543059978
559,549,0.35322675774704226
559,550,0.38576678197335407
559,551,0.46589876120920853
559,552,0.4839628548736617
559,553,0.4994624936108106
559,554,0.4794775634912615
559,555,0.4213624250337064
559,556,0.40834858226132886
559,557,0.575406526693718
559,558,0.5778035915855012
560,545,0.5061080364743192
560,547,0.40999987120266407
560,548,0.5779356058728901
560,550,0.5389002256810085
560,551,0.4033209081973224
560,552,0.7122504506674141
560,553,0.4884441017228804
560,554,0.6269637773384155
560,556,0.39774737528677145
560,557,0.4804549617141871
560,558,0.7104713568068709
560,559,0.43417781786309995
561,545,0.4179225523326215
561,548,0.38282817900696536
561,550,0.3433350151255887
561,552,0.40577324724107716
561,553,0.5307737951091678
561,554,0.45310005139297393
561,555,0.449835870025659
561,556,0.408099229530795
561,557,0.35151700235661315
561,558,0.4918942543596391
561,559,0.6123480819590735
561,560,0.5364515118270431
562,545,0.47633229976456987
562,547,0.42630846517410315
562,548,0.5698463974020483
562,550,0.47362127378888386
562,551,0.38425360362837563
562,552,0.5771297072462297
562,553,0.39386581964787254
562,554,0.6344587141086531
562,555,0.37581419444295366
562,556,0.35995893792093137
562,557,0.4310356466251217
